step,train_rmse_step,epoch,valid_rmse,valid_loss,train_loss,train_rmse_epoch,test_loss,test_rmse
152,,8,7.897006988525391,62.36272048950195,,,,
152,,8,,,54.79060363769531,7.3431396484375,,
154,7.191882133483887,9,,,,,,
159,8.775113105773926,9,,,,,,
164,7.062393665313721,9,,,,,,
169,8.287470817565918,9,,,,,,
169,,9,7.704118251800537,59.35343551635742,,,,
169,,9,,,54.33662414550781,7.283524036407471,,
174,8.429431915283203,10,,,,,,
179,6.829756259918213,10,,,,,,
184,7.781002998352051,10,,,,,,
186,,10,7.733759880065918,59.811038970947266,,,,
186,,10,,,55.067161560058594,7.365217685699463,,
189,7.67256498336792,11,,,,,,
194,8.493110656738281,11,,,,,,
199,6.585816383361816,11,,,,,,
203,,11,7.868765354156494,61.9174690246582,,,,
203,,11,,,54.9442253112793,7.344834804534912,,
204,6.444258213043213,12,,,,,,
209,9.287534713745117,12,,,,,,
214,5.685355186462402,12,,,,,,
219,10.137088775634766,12,,,,,,
220,,12,8.112053871154785,65.80541229248047,,,,
220,,12,,,55.799278259277344,7.378621578216553,,
224,8.958513259887695,13,,,,,,
229,6.934876441955566,13,,,,,,
234,7.047440052032471,13,,,,,,
237,,13,8.2016019821167,67.26628112792969,,,,
237,,13,,,55.78418731689453,7.423914909362793,,
239,6.616551399230957,14,,,,,,
244,7.6178388595581055,14,,,,,,
249,6.86890983581543,14,,,,,,
254,7.205007076263428,14,,,,,,
254,,14,7.77404260635376,60.43574142456055,,,,
254,,14,,,54.43928909301758,7.327387809753418,,
259,6.153079509735107,15,,,,,,
264,8.699117660522461,15,,,,,,
269,6.493574619293213,15,,,,,,
271,,15,7.69317102432251,59.184879302978516,,,,
271,,15,,,54.750213623046875,7.341594219207764,,
274,5.907958507537842,16,,,,,,
279,8.562908172607422,16,,,,,,
284,7.493428707122803,16,,,,,,
288,,16,7.677903175354004,58.9501953125,,,,
288,,16,,,54.96406936645508,7.339781761169434,,
289,7.293884754180908,17,,,,,,
294,8.390892028808594,17,,,,,,
299,8.621041297912598,17,,,,,,
304,6.993229866027832,17,,,,,,
305,,17,7.688061714172363,59.106292724609375,,,,
305,,17,,,55.27067184448242,7.354992389678955,,
309,7.759875774383545,18,,,,,,
314,8.060348510742188,18,,,,,,
319,6.826600074768066,18,,,,,,
322,,18,7.694634437561035,59.207401275634766,,,,
322,,18,,,54.48598861694336,7.332278728485107,,
324,7.473935127258301,19,,,,,,
329,6.253438472747803,19,,,,,,
334,6.579395294189453,19,,,,,,
339,9.852082252502441,19,,,,,,
339,,19,9.106233596801758,82.92349243164062,,,,
339,,19,,,54.87714385986328,7.320834159851074,,
344,8.015713691711426,20,,,,,,
349,7.262218475341797,20,,,,,,
354,6.632016658782959,20,,,,,,
356,,20,7.724876403808594,59.6737174987793,,,,
356,,20,,,54.75513458251953,7.3636674880981445,,
359,5.420500755310059,21,,,,,,
364,7.7087626457214355,21,,,,,,
369,6.54539680480957,21,,,,,,
373,,21,8.513209342956543,72.4747314453125,,,,
373,,21,,,55.30878448486328,7.350427627563477,,
374,8.017377853393555,22,,,,,,
379,8.456705093383789,22,,,,,,
384,9.349414825439453,22,,,,,,
389,8.060868263244629,22,,,,,,
390,,22,7.8005523681640625,60.84861755371094,,,,
390,,22,,,55.62417221069336,7.387903213500977,,
394,6.5583930015563965,23,,,,,,
399,7.060336112976074,23,,,,,,
404,5.48926305770874,23,,,,,,
407,,23,7.707483291625977,59.40530014038086,,,,
407,,23,,,54.88233947753906,7.317120552062988,,
409,6.542243003845215,24,,,,,,
414,7.086871147155762,24,,,,,,
419,7.862966537475586,24,,,,,,
424,7.852334499359131,24,,,,,,
424,,24,7.924773693084717,62.80203628540039,,,,
424,,24,,,55.18341827392578,7.381584167480469,,
429,7.242100238800049,25,,,,,,
434,7.904696941375732,25,,,,,,
439,7.358545303344727,25,,,,,,
441,,25,7.947329044342041,63.16004180908203,,,,
441,,25,,,54.663734436035156,7.308340549468994,,
444,5.7421464920043945,26,,,,,,
449,6.7353105545043945,26,,,,,,
454,6.224331855773926,26,,,,,,
458,,26,8.224747657775879,67.64647674560547,,,,
458,,26,,,54.60163116455078,7.316678524017334,,
459,7.862201690673828,27,,,,,,
464,6.223451137542725,27,,,,,,
469,7.057892322540283,27,,,,,,
474,7.497161865234375,27,,,,,,
475,,27,7.7136149406433105,59.499855041503906,,,,
475,,27,,,55.52737808227539,7.320771217346191,,
479,6.876716136932373,28,,,,,,
484,7.774388790130615,28,,,,,,
489,9.539566993713379,28,,,,,,
492,,28,7.9457688331604,63.13523864746094,,,,
492,,28,,,55.25048828125,7.363671779632568,,
494,5.2772345542907715,29,,,,,,
499,6.850658416748047,29,,,,,,
504,6.997455596923828,29,,,,,,
509,4.1231303215026855,29,,,,,,
509,,29,7.693079948425293,59.18347930908203,,,,
509,,29,,,54.39334487915039,7.2912278175354,,
514,5.688230991363525,30,,,,,,
519,8.47642707824707,30,,,,,,
524,8.232301712036133,30,,,,,,
526,,30,7.941895484924316,63.07370376586914,,,,
526,,30,,,54.88970947265625,7.3577470779418945,,
529,7.132622718811035,31,,,,,,
534,5.341151237487793,31,,,,,,
539,6.102694511413574,31,,,,,,
543,,31,7.809938430786133,60.995140075683594,,,,
543,,31,,,55.945228576660156,7.418877601623535,,
544,6.596989631652832,32,,,,,,
549,5.947678565979004,32,,,,,,
554,6.71733283996582,32,,,,,,
559,6.608502388000488,32,,,,,,
560,,32,7.804715156555176,60.91358184814453,,,,
560,,32,,,55.91057586669922,7.405812740325928,,
564,7.790801525115967,33,,,,,,
569,6.85947322845459,33,,,,,,
574,7.242171287536621,33,,,,,,
577,,33,7.696439743041992,59.23518753051758,,,,
577,,33,,,55.313079833984375,7.351701259613037,,
579,9.425230026245117,34,,,,,,
584,6.144169807434082,34,,,,,,
589,7.112114429473877,34,,,,,,
594,5.85153865814209,34,,,,,,
594,,34,7.756425380706787,60.16213607788086,,,,
594,,34,,,55.14845657348633,7.372898578643799,,
599,9.923739433288574,35,,,,,,
604,7.38986873626709,35,,,,,,
609,8.103423118591309,35,,,,,,
611,,35,7.8758134841918945,62.02843475341797,,,,
611,,35,,,55.31555938720703,7.338618755340576,,
614,7.519113540649414,36,,,,,,
619,8.255046844482422,36,,,,,,
624,7.14925479888916,36,,,,,,
628,,36,7.780510425567627,60.536338806152344,,,,
628,,36,,,54.714759826660156,7.357124328613281,,
629,6.042932033538818,37,,,,,,
634,8.896145820617676,37,,,,,,
639,6.659703731536865,37,,,,,,
644,8.827136993408203,37,,,,,,
645,,37,7.917668342590332,62.68946838378906,,,,
645,,37,,,54.586585998535156,7.285910129547119,,
649,7.118474006652832,38,,,,,,
654,7.419066429138184,38,,,,,,
659,6.319586277008057,38,,,,,,
662,,38,7.982738494873047,63.72411346435547,,,,
662,,38,,,55.59429168701172,7.406039237976074,,
664,8.031149864196777,39,,,,,,
669,7.169025421142578,39,,,,,,
674,7.1279296875,39,,,,,,
679,9.587367057800293,39,,,,,,
679,,39,8.411493301391602,70.75321197509766,,,,
679,,39,,,55.29993438720703,7.371102809906006,,
684,8.184778213500977,40,,,,,,
689,6.963908672332764,40,,,,,,
694,8.951349258422852,40,,,,,,
696,,40,7.720880031585693,59.61198806762695,,,,
696,,40,,,55.137359619140625,7.343018054962158,,
699,6.983999729156494,41,,,,,,
704,7.65674352645874,41,,,,,,
709,8.31580924987793,41,,,,,,
713,,41,7.678903579711914,58.96556091308594,,,,
713,,41,,,54.76034927368164,7.311532020568848,,
714,8.56716537475586,42,,,,,,
719,7.281622886657715,42,,,,,,
724,6.576564788818359,42,,,,,,
729,6.977426528930664,42,,,,,,
730,,42,7.6786956787109375,58.96236801147461,,,,
730,,42,,,55.62778854370117,7.397373199462891,,
734,6.41094970703125,43,,,,,,
739,9.061393737792969,43,,,,,,
744,9.402956008911133,43,,,,,,
747,,43,7.942327976226807,63.08057403564453,,,,
747,,43,,,54.398563385009766,7.266357421875,,
749,6.500687122344971,44,,,,,,
754,8.334089279174805,44,,,,,,
759,7.878395080566406,44,,,,,,
764,4.430324077606201,44,,,,,,
764,,44,7.710855007171631,59.4572868347168,,,,
764,,44,,,54.39122009277344,7.2827839851379395,,
769,8.602324485778809,45,,,,,,
774,6.250886917114258,45,,,,,,
779,5.860260963439941,45,,,,,,
781,,45,7.676568984985352,58.92971420288086,,,,
781,,45,,,55.20180130004883,7.390946388244629,,
784,8.336557388305664,46,,,,,,
789,6.852186679840088,46,,,,,,
794,7.402955055236816,46,,,,,,
798,,46,8.326703071594238,69.33397674560547,,,,
798,,46,,,54.74879455566406,7.3121232986450195,,
799,6.750912666320801,47,,,,,,
804,5.412933349609375,47,,,,,,
809,8.689833641052246,47,,,,,,
814,8.28073787689209,47,,,,,,
815,,47,7.974148750305176,63.58705139160156,,,,
815,,47,,,54.86591339111328,7.325129985809326,,
819,8.303032875061035,48,,,,,,
824,7.2801408767700195,48,,,,,,
829,6.619177341461182,48,,,,,,
832,,48,7.781596660614014,60.55324935913086,,,,
832,,48,,,54.59883499145508,7.3021087646484375,,
834,7.540269374847412,49,,,,,,
839,7.454694747924805,49,,,,,,
844,6.6605658531188965,49,,,,,,
849,6.527711391448975,49,,,,,,
849,,49,7.761608123779297,60.24256134033203,,,,
849,,49,,,54.60304260253906,7.33804988861084,,
854,7.697235107421875,50,,,,,,
859,6.784878730773926,50,,,,,,
